"id","year","short_title","notes","url","theme_title","start_date","end_date","city","state_province_region","country","references","contributors","attendance","entry_status","program_available","abstracts_available","search_text","label"
"155","2020","Catholic University of the Sacred Heart","","https://aiucd2020.unicatt.it/aiucd-home","La svolta inevitabile: sfide e prospettive per l'Informatica Umanistica","2020-01-15","2020-01-17","Milan","","26","","Scott Weingart","","n","True","True","2020 Catholic University of the Sacred Heart Milan Associazione per l'Informatica Umanistica e la Cultura Digitale (Italian Association of Digital Humanities) AIUCD Associazione per l'Informatica Umanistica e la Cultura Digitale (Italian Association of Digital Humanities) AIUCD","2020 - Catholic University of the Sacred Heart"
"156","1979","Kibbutz Shefayim","Works in database based on an index to the published proceedings.","","International Conference on Literary and Linguistic Computing","1979-04-22","1979-04-27","Kibbutz Shefayim","","20","Malachi, Zvi, ed. Proceedings of the International Conference on Literary and Linguistic Computing. Tel-Aviv: Tel-Aviv University, 19","Scott Weingart","","i","True","False","1979 Kibbutz Shefayim Kibbutz Shefayim Association for Literary and Linguistic Computing ALLC","1979 - Kibbutz Shefayim"
"157","2014","Barnard College, Columbia University","","https://wayback.archive-it.org/1914/20151224034027/http://caribbeandigital.cdrs.columbia.edu/","","2014-12-04","2014-12-05","New York","New York","64","","Alex Gil, Scott Weingart","","r","True","True","2014 Barnard College, Columbia University New York Barnard College Columbia University Caribbean Digital Caribbean Digital Caribbean Digital Caribbean Digital","2014 - Barnard College, Columbia University"
"158","2015","Maison Française, Columbia University","","http://caribbeandigitalnyc.net/2015/","histories, cartographies, narratives","2015-12-04","2015-12-04","New York","New York","64","","Alex Gil, Scott Weingart","","n","True","False","2015 Maison Française, Columbia University New York Caribbean Digital Caribbean Digital Caribbean Digital Caribbean Digital","2015 - Maison Française, Columbia University"
"159","2016","Maison Française, Columbia University","","http://caribbeandigitalnyc.net/2016/","","2016-12-02","2016-12-02","New York","New York","64","","Alex Gil, Scott Weingart","","n","True","True","2016 Maison Française, Columbia University New York Caribbean Digital Caribbean Digital Caribbean Digital Caribbean Digital","2016 - Maison Française, Columbia University"
"160","2017","University of Virginia","","http://caribbeandigitalnyc.net/2017/","","2017-11-30","2017-12-01","Charlottesville","Virginia","64","","Alex Gil, Scott Weingart","","n","True","False","2017 University of Virginia Charlottesville Institution object (1122) Caribbean Digital Caribbean Digital Caribbean Digital Caribbean Digital","2017 - University of Virginia"
"161","2018","University of the West Indies","","http://caribbeandigitalnyc.net/2018/","","2018-12-06","2018-12-07","St. Augustine","","202","","Alex Gil, Scott Weingart","","n","True","True","2018 University of the West Indies St. Augustine Caribbean Digital Caribbean Digital Caribbean Digital Caribbean Digital","2018 - University of the West Indies"
"162","2019","Barnard College, Columbia University","","http://caribbeandigitalnyc.net/2019/","","2019-12-06","2019-12-06","New York","New York","64","","Alex Gil, Scott Weingart","","n","True","False","2019 Barnard College, Columbia University New York Caribbean Digital Caribbean Digital Caribbean Digital Caribbean Digital","2019 - Barnard College, Columbia University"
"163","1987","University of Southampton","http://users.ox.ac.uk/~lou/Reports/1987-04-10.html","","Computers and Teaching in the Humanities","1987-04-10","1987-04-11","Southampton","England","","","Scott Weingart","100+ via http://users.ox.ac.uk/~lou/Reports/1987-04-10.html","n","False","False","1987 University of Southampton Southampton Institution object (1083) Computers and Teaching in the Humanities CATH Computers and Teaching in the Humanities CATH","1987 - University of Southampton"
"164","1988","University of Southampton","https://dhhumanist.org/Archives/Virginia/v02/0030.html","","","1988-12-13","1988-12-15","Southampton","England","","","Scott Weingart","","n","False","False","1988 University of Southampton Southampton Institution object (1083) Computers and Teaching in the Humanities CATH Computers and Teaching in the Humanities CATH","1988 - University of Southampton"
"165","1990","St. Andrews University","https://academic.oup.com/dsh/article-abstract/5/4/303/939294?redirectedFrom=PDF","","From Rhetoric to Reality","1990-04-02","1990-04-05","St. Andrews","Scotland","","SUSAN HOCKEY, Special Section: Papers from the Literature Workshop, Conference on Computers and Teaching in the Humanities, April 1990 Introduction: Introduction, Literary and Linguistic Computing, Volume 5, Issue 4, 1990, Pages 303–304, https://doi.org/10.1093/llc/5.4.303","Scott Weingart","","n","False","False","1990 St. Andrews University St. Andrews Institution object (1086) Computers and Teaching in the Humanities CATH Computers and Teaching in the Humanities CATH","1990 - St. Andrews University"
"166","1991","University of Durham","","","Strategies for Implementation","1991-12-16","1991-12-18","Durham","England","","","Scott Weingart","","n","False","False","1991 University of Durham Durham Computers and Teaching in the Humanities CATH Computers and Teaching in the Humanities CATH","1991 - University of Durham"
"167","1992","Manchester Metropolitan University","","","Teaching with Computers: Experiences and Opportunities","1992-12-15","1992-12-17","Manchester","England","","","Scott Weingart","","n","False","False","1992 Manchester Metropolitan University Manchester Computers and Teaching in the Humanities CATH Computers and Teaching in the Humanities CATH","1992 - Manchester Metropolitan University"
"168","1994","Glasgow University","","","Courseware in Action","1994-09-10","1994-09-12","Glasgow","Scotland","","","Scott Weingart","","n","False","False","1994 Glasgow University Glasgow Computers and Teaching in the Humanities CATH Computers and Teaching in the Humanities CATH","1994 - Glasgow University"
"169","1995","Royal Holloway, University of London","","","Computers and the Changing Curriculum","1995-09-05","1995-09-07","London","England","","","Scott Weingart","","n","False","False","1995 Royal Holloway, University of London London Computers and Teaching in the Humanities CATH Computers and Teaching in the Humanities CATH","1995 - Royal Holloway, University of London"
"170","2020","College of William & Mary","","https://chesapeakedh.github.io/conference-2020","","2020-02-21","2020-02-21","Williamsburg","Virginia","64","","Scott Weingart, Michael Hendry","","n","True","False","2020 College of William & Mary Williamsburg Institution object (1523) Chesapeake Digital Humanities Consortium CDHC Chesapeake Digital Humanities Consortium CDHC","2020 - College of William & Mary"
"171","2017","Toronto","http://web.archive.org/web/20181123092217/http://csdh-schn.org/wp-content/uploads/CSDH-SCHN-Congress2017-Program-6.pdf","http://web.archive.org/web/20171104142458/http://csdh-schn.org/2017/04/28/program-csdhschn-congress-2017/","","2017-05-27","2017-05-28","Toronto","","13","","Scott Weingart","","n","True","False","2017 Toronto Toronto Canadian Society for Digital Humanities/Société canadienne des humanités numériques @ Congress CSDH/SCHN @ Congress Canadian Society for Digital Humanities / Société canadienne des humanités numériques CSDH/SCHN","2017 - Toronto"
"172","2018","Regina","","http://web.archive.org/web/20180805173148/http://csdh-schn.org/2018/03/21/csdh-schn-2018-conference-schedule/","","2018-05-26","2018-05-28","Regina","Saskatchewan","13","","Scott Weingart","","n","False","False","2018 Regina Regina Canadian Society for Digital Humanities/Société canadienne des humanités numériques @ Congress CSDH/SCHN @ Congress Canadian Society for Digital Humanities / Société canadienne des humanités numériques CSDH/SCHN","2018 - Regina"
"173","2019","Vancouver","","https://www.congress2019.ca/associations/255","","2019-06-02","2019-06-04","Vancouver","","13","https://era.library.ualberta.ca/items/3771efda-8fe8-451d-9fc9-7dd4bf91da43","Scott Weingart","","n","True","False","2019 Vancouver Vancouver Canadian Society for Digital Humanities/Société canadienne des humanités numériques @ Congress CSDH/SCHN @ Congress Canadian Society for Digital Humanities / Société canadienne des humanités numériques CSDH/SCHN","2019 - Vancouver"
"174","2015","Ottawa","","http://web.archive.org/web/20150406152924/https://www.conftool.net/csdh-schn-ach-2015/index.php?page=browseSessions&presentations=show","Joint CSDH/SCHN & ACH Digital Humanities Conference 2015","2015-06-01","2015-06-03","Ottawa","","13","","Scott Weingart","","n","True","False","2015 Ottawa Ottawa Canadian Society for Digital Humanities/Société canadienne des humanités numériques @ Congress CSDH/SCHN @ Congress The Association for Computers and the Humanities ACH Canadian Society for Digital Humanities / Société canadienne des humanités numériques CSDH/SCHN","2015 - Ottawa"
"175","2016","Göttingen State and University Library","","https://de.dariah.eu/en/dariah-de-grand-tour","","2016-02-18","2016-02-19","Göttingen","","4","https://de.dariah.eu/en/2016-grand-tour-materialien","Christoph Kudella","","n","True","False","2016 Göttingen State and University Library Göttingen Institution object (1307) DARIAH-DE Grand Tour DARIAH-DE Grand Tour Digital Research Infrastructure for the Arts and Humanities - Deutschland DARIAH-DE","2016 - Göttingen State and University Library"
